DEPARTMENT,Nursing Unit,Bed
EMERGENCY & ACUTE CARE,ED Resuscitation Area,39
EMERGENCY & ACUTE CARE,ED Fastrack/Observation Area,32
EMERGENCY & ACUTE CARE,ED Maternal & Child,32
EMERGENCY & ACUTE CARE,ED Navigation,3
EMERGENCY & ACUTE CARE,ED Administration & Support,7
 SURGICAL & PERIOPERATIVE SERVICES,Operation Room (OR) Suites,12
 SURGICAL & PERIOPERATIVE SERVICES,Recovery/PACU (Post-Op),8
 SURGICAL & PERIOPERATIVE SERVICES,Plaster Unit,9
 SURGICAL & PERIOPERATIVE SERVICES,OR Administration & Support,2
 CRITICAL CARE & INTENSIVE SERVICES,Intensive Care Unit (ICU) Main,79
 CRITICAL CARE & INTENSIVE SERVICES,ICU Extension,14
 CRITICAL CARE & INTENSIVE SERVICES,High Dependency Unit (HDU),6
GENERAL & SPECIALTY SERVICES,(ACUTE GENERAL CARE) Ward 3A - General Acute,20
GENERAL & SPECIALTY SERVICES,(ACUTE GENERAL CARE) Ward 4A - Acute Specialized,18
GENERAL & SPECIALTY SERVICES, (ACUTE GENERAL CARE) Ward 4B - Acute Specialized,19
GENERAL & SPECIALTY SERVICES, (ACUTE GENERAL CARE) Ward 5B - Acute Specialized,21
GENERAL & SPECIALTY SERVICES, (ACUTE GENERAL CARE) Rehabilitation Ward,17
GENERAL & SPECIALTY SERVICES, (ACUTE GENERAL CARE) Pediatric Ward,15
GENERAL & SPECIALTY SERVICES, (ACUTE GENERAL CARE) Labor & Delivery,15
GENERAL & SPECIALTY SERVICES, (ACUTE GENERAL CARE) Obgyne Ward,17
GENERAL & SPECIALTY SERVICES, (ACUTE GENERAL CARE) AKU (Allergy/Kidney Unit),14
GENERAL & SPECIALTY SERVICES, (ACUTE GENERAL CARE) Newborn Screening Unit,3
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Day Surgery Unit,9
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Day Care Unit,3
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Outpatient Department (OPD),19
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Jail Ward,12
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Respiratory Rehab Therapy (RRT),5
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Plaster Unit (2nd Location),9
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Urgent Care Center (UCC),15
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Electroencephalogram (EEG) Unit,2
GENERAL & SPECIALTY SERVICES, (SPECIALIZED & DIAGNOSTIC) Specialty Clinics (Multiple),4
GENERAL & SPECIALTY SERVICES,"(DIAGNOSTIC & SPECIALTY) 	
Endoscopy Unit",5
GENERAL & SPECIALTY SERVICES,(DIAGNOSTIC & SPECIALTY) Blood Collection Unit,2
GENERAL & SPECIALTY SERVICES,(DIAGNOSTIC & SPECIALTY) Radiology Department,6
GENERAL & SPECIALTY SERVICES,(DIAGNOSTIC & SPECIALTY) Diabetic Center,10
GENERAL & SPECIALTY SERVICES,(DIAGNOSTIC & SPECIALTY) ICU Extension (2nd Location),14
GENERAL & SPECIALTY SERVICES,(DIAGNOSTIC & SPECIALTY) Discharge Unit,2
GENERAL & SPECIALTY SERVICES,(DIAGNOSTIC & SPECIALTY) ED Navigator (2nd Location),5
GENERAL & SPECIALTY SERVICES, SUPPORT & ADMINISTRATIVE SERVICES - Non-Invasive Laboratory,
GENERAL & SPECIALTY SERVICES, SUPPORT & ADMINISTRATIVE SERVICES - Orthopedic/Tech Services,
GENERAL & SPECIALTY SERVICES, SUPPORT & ADMINISTRATIVE SERVICES - Administrative Support Areas,
GENERAL & SPECIALTY SERVICES, SUPPORT & ADMINISTRATIVE SERVICES - Non-Maternal & Child Health Coord,
GENERAL & SPECIALTY SERVICES, SUPPORT & ADMINISTRATIVE SERVICES - General Support Services,
